Rk,Player,BPM...3,MP▼,From,To,Age,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM...18,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
112,Nicolas Batum,1.6,5006,2020-21,2022-23,32-34,204,111,12.3,121,111,6,6.4,0.118,0.1,1.5,1.6,4.6,12.4,3.2,15.7,9.6,9.9,1.8,2.1,10.3,12.2,F-G,LAC,batumni01
113,Will Barton,-1.4,5006,2020-21,2022-23,30-32,183,125,5.8,106,114,1.6,4.2,0.056,-0.6,-0.8,-1.4,0.8,12.2,2.2,13.3,7.9,15.9,1.3,1.2,11.9,19.8,G,DENTORWAS,bartowi01
114,Duncan Robinson,-1.4,4996,2020-21,2022-23,26-28,193,141,8.1,112,114,3.7,4.4,0.078,-0.7,-0.7,-1.4,0.8,10.4,0.9,10.9,6,8.9,1,0.7,8.8,17.2,G-F,MIA,robindu01
115,Seth Curry,-0.8,4984,2020-21,2022-23,30-32,182,128,10,115,115,5.9,4.1,0.096,-0.1,-0.7,-0.8,1.5,13.1,1,8.6,4.9,14.3,1.3,0.5,10.9,18.2,G,BRKPHI,curryse01
116,Robert Covington,0.4,4962,2020-21,2022-23,30-32,189,112,8.9,112,111,2.9,6,0.086,-1.3,1.7,0.4,3,12.1,3.3,19.4,11.2,7.3,2.4,3.8,11.5,12.9,F-C,LACPOR,covinro01
117,Anfernee Simons,-1,4956,2020-21,2022-23,21-23,183,92,6.2,113,121,5.7,0.5,0.06,1.4,-2.3,-1,1.3,14.4,1.3,9,5.1,18.2,0.9,0.5,10.7,23.5,G,POR,simonan01
118,Justin Holiday,-1.9,4946,2020-21,2022-23,31-33,192,119,4.7,108,116,1.8,2.9,0.045,-1.5,-0.4,-1.9,0.1,9.5,1.5,9.7,5.6,7.8,1.5,1.6,8.6,14.8,F,ATLDALINDSAC,holidju01
119,Kristaps Porzingis,3.6,4928,2020-21,2022-23,25-27,159,159,17.5,119,110,10.7,6.8,0.171,3.4,0.2,3.6,7,22.8,6.8,23,15,11.9,1.1,4.3,8.7,27.8,F-C,DALWAS,porzikr01
120,Josh Richardson,-1,4920,2020-21,2022-23,27-29,189,73,7.7,110,114,3.2,4.5,0.075,-1.1,0.1,-1,1.3,12.3,3,9.4,6.2,12.6,1.8,1.3,11.2,18.1,G,BOSDALNOPSAS,richajo01
121,Wendell Carter Jr.,0.6,4917,2020-21,2022-23,21-23,173,159,13,116,111,6.9,6.1,0.127,0.4,0.2,0.6,3.2,17.5,8.6,26.5,17.5,13.1,1,2.2,13,20.3,C,CHIORL,cartewe01
122,Jarred Vanderbilt,0.5,4898,2020-21,2022-23,21-23,216,162,14.3,124,110,7.4,6.9,0.14,-0.8,1.3,0.5,3.1,15.4,10.9,23.8,17.3,9.8,2.4,2.1,15.5,12.3,F,LALMINUTA,vandeja01
123,Marcus Morris Sr.,-1.1,4891,2020-21,2022-23,31-33,176,148,8,110,114,3.4,4.6,0.079,-0.5,-0.6,-1.1,1.1,12.7,2.1,14.1,8.2,8.7,1,1,8.1,20.2,F,LAC,morrima03
124,Cole Anthony,-1,4884,2020-21,2022-23,20-22,172,103,5.3,106,114,1.1,4.2,0.052,-0.5,-0.5,-1,1.3,13.9,2.6,16.5,9.4,25.8,1.1,1.3,13.7,23.7,G,ORL,anthoco01
125,Malcolm Brogdon,2.4,4880,2020-21,2022-23,28-30,159,92,12.7,117,115,8.7,4,0.125,2.7,-0.3,2.4,5.4,18,3,14,8.5,24.5,1.2,0.8,10.4,24.5,G,BOSIND,brogdma01
126,Kevin Durant,7.2,4876,2020-21,2022-23,32-34,137,134,20.2,122,112,14.8,5.3,0.199,6.3,0.9,7.2,11.3,25.9,1.4,20,10.9,27.2,1.1,2.9,13.4,31,F-G,BRKPHO,duranke01
127,DeAnthony Melton,1.5,4852,2020-21,2022-23,22-24,202,74,10.2,109,109,2.8,7.4,0.1,-0.1,1.6,1.5,4.3,14.1,3.7,14.5,9.1,14.9,2.9,2.1,13.1,18.7,G,MEMPHI,meltode01
128,Kevon Looney,1,4851,2020-21,2022-23,24-26,225,184,18.8,136,109,11.4,7.4,0.186,-0.4,1.4,1,3.6,15.6,13.8,23.7,18.9,13.5,1.2,2.3,12,10.9,F-C,GSW,looneke01
129,Paul George,3.5,4837,2020-21,2022-23,30-32,141,141,11.2,110,111,4.7,6.5,0.111,2.8,0.7,3.5,6.7,19.7,2.4,18.2,10.5,25.2,2.2,1,14.3,30.6,F,LAC,georgpa01
130,JaeSean Tate,-1.9,4776,2020-21,2022-23,25-27,179,142,7.5,112,116,4.6,2.9,0.075,-1.7,-0.2,-1.9,0.2,13.8,6.8,14,10.4,15.5,1.8,1.6,13.9,18.1,F,HOU,tateja01
131,Jeff Green,-2.1,4775,2020-21,2022-23,34-36,199,105,9.7,119,116,6.4,3.2,0.097,-1,-1,-2.1,-0.1,12.3,2.8,11.8,7.5,7.7,0.8,1.3,9.7,16.2,F,BRKDEN,greenje02
132,Miles Bridges,1,4769,2020-21,2021-22,22-23,146,99,11.5,117,114,7.3,4.1,0.115,1.2,-0.2,1,3.6,16.6,3.8,17.9,10.7,14,1.2,2.4,11.2,20.5,G-F,CHO,bridgmi02
133,Spencer Dinwiddie,0.5,4769,2020-21,2022-23,27-29,149,133,10.4,116,117,7.2,3.2,0.105,1.2,-0.7,0.5,3,15.6,1.7,11.5,6.6,26.9,1.2,0.7,11,21.7,G,BRKDALWAS,dinwisp01
134,Kevin Porter Jr.,-1,4766,2020-21,2022-23,20-22,146,143,3.7,106,118,1.6,2.1,0.037,0.4,-1.4,-1,1.2,14.5,3.1,12.6,7.8,28.7,1.7,0.9,17,24.4,G,HOU,porteke02
135,Jalen Green,-2.4,4740,2021-22,2022-23,19-20,143,143,2.5,107,121,1.8,0.7,0.025,0.1,-2.5,-2.4,-0.5,13.6,1.7,10.1,5.9,15.4,1,0.7,11.3,26.1,G,HOU,greenja05
136,Steven Adams,0.9,4737,2020-21,2022-23,27-29,176,175,14.2,122,110,7.5,6.7,0.143,0.2,0.6,0.9,3.4,16.7,17.2,22.2,19.7,12.5,1.6,2.8,19,12.5,C,MEMNOP,adamsst01
137,Malik Monk,-0.5,4736,2020-21,2022-23,22-24,195,37,7.9,112,117,4.8,3,0.08,0.9,-1.3,-0.5,1.8,15,1.9,11.1,6.5,18.8,1.3,1,12.8,22.8,G,CHOLALSAC,monkma01
138,Patrick Williams,-1.8,4728,2020-21,2022-23,19-21,170,145,6.8,108,112,1.4,5.5,0.069,-2.1,0.3,-1.8,0.3,11.1,3.9,13.2,8.6,6.1,1.5,2.5,13.1,15.2,F,CHI,willipa01
139,Donte DiVincenzo,-0.1,4714,2020-21,2022-23,24-26,180,103,8.5,111,113,3.3,5.2,0.087,-0.7,0.6,-0.1,2.3,12.6,4.7,15,10,15.9,2.2,0.6,14.8,16.6,G,GSWMILSAC,divindo01
140,Tyus Jones,1.4,4711,2020-21,2022-23,24-26,223,54,13.6,121,113,8.3,5.3,0.138,0.9,0.5,1.4,4,15.9,1.5,10.2,5.8,28.6,2.2,0.3,8.7,17.1,G,MEM,jonesty01
141,Al Horford,3.7,4709,2020-21,2022-23,34-36,160,160,15.5,124,109,8.1,7.4,0.158,1.6,2.2,3.7,6.8,15.6,4.9,20.2,12.7,15.7,1.1,3.4,8.2,14.8,C-F,BOSOKC,horfoal01
142,Pat Connaughton,0.1,4709,2020-21,2022-23,28-30,195,56,10.5,119,112,5.3,5.2,0.107,-0.3,0.4,0.1,2.5,11.7,3.6,15.8,9.9,6.6,1.5,0.9,6.9,13.1,G,MIL,connapa01
143,Kelly Olynyk,1,4703,2020-21,2022-23,29-31,178,131,11,115,113,5.8,5.3,0.112,0,0.9,1,3.5,15.6,5.1,20.2,12.6,17.9,1.7,1.9,16.7,19.2,C-F,DETHOUMIAUTA,olynyke01
144,Alec Burks,1.1,4695,2020-21,2022-23,29-31,181,57,11.9,117,112,6.6,5.3,0.122,0.5,0.6,1.1,3.7,14.7,2,16.3,9,15.1,1.6,1,9.3,19.9,G,DETNYK,burksal01
145,Isaiah Stewart,-2.2,4685,2020-21,2022-23,19-21,189,132,9.4,115,113,4.6,4.8,0.097,-1.7,-0.5,-2.2,-0.3,14.5,11.3,23.6,17.3,6.8,0.8,3.7,12.9,15.7,F-C,DET,stewais01
146,Chris Boucher,1,4666,2020-21,2022-23,28-30,216,23,17,125,110,10.5,6.5,0.175,1.2,-0.2,1,3.6,19.2,10.2,21.7,15.6,3.8,1.4,5.3,6.3,18.7,F,TOR,bouchch01
147,Bogdan Bogdanovic,1.7,4661,2020-21,2022-23,28-30,161,63,10.3,117,116,7,3.2,0.106,1.9,-0.2,1.7,4.3,15.6,1.7,11.8,6.8,15.4,1.7,0.8,8.4,20.9,G,ATL,bogdabo01
148,Gordon Hayward,-0.2,4637,2020-21,2022-23,30-32,143,142,8.3,113,116,4.8,3.5,0.086,0.2,-0.4,-0.2,2.1,15.3,2.5,13.8,8,18.3,1.5,1,11.6,21.5,F-G,CHO,haywago01
149,Patty Mills,-1.7,4598,2020-21,2022-23,32-34,189,51,5.4,111,117,3.3,2.2,0.056,-0.3,-1.4,-1.7,0.4,10.9,1,6.4,3.7,12.1,1.1,0.4,9.1,17.5,G,BRKSAS,millspa02
150,Brook Lopez,1,4573,2020-21,2022-23,32-34,161,159,13.9,121,110,7.5,6.4,0.146,0.3,0.6,1,3.5,17,6.7,14.1,10.5,4.8,0.9,5.8,9.1,18.5,C,MIL,lopezbr01
151,Cedi Osman,-1.2,4520,2020-21,2022-23,25-27,202,31,6.6,108,114,2.2,4.4,0.071,-1.1,-0.1,-1.2,0.9,11.9,2.2,11,6.6,14.1,1.5,0.6,9.8,19.9,F,CLE,osmande01
152,Myles Turner,1.4,4515,2020-21,2022-23,24-26,151,151,11.8,118,111,6.2,5.7,0.126,0.1,1.3,1.4,3.8,17.8,5.3,20.9,13.1,5.8,1.1,7.8,11.1,18.9,C-F,IND,turnemy01
153,Killian Hayes,-4.2,4471,2020-21,2022-23,19-21,168,114,-1.2,95,116,-4.7,3.5,-0.013,-4.1,-0.1,-4.2,-2.5,9.1,1.6,11,6.1,29.1,2.3,1.5,19,18.5,G,DET,hayeski01
154,Anthony Davis,5.1,4470,2020-21,2022-23,27-29,132,130,17.2,118,107,9.4,7.8,0.185,3.5,1.7,5.1,8,25.1,9,24.3,16.7,14.4,1.6,5.1,9.4,28.2,F-C,LAL,davisan02
155,Luke Kennard,0.3,4466,2020-21,2022-23,24-26,192,44,10.6,121,114,6.7,3.9,0.114,0.6,-0.3,0.3,2.6,13,1.2,11.9,6.7,10.8,1.1,0.4,9.3,16.2,G,LACMEM,kennalu01
156,Lonnie Walker IV,-2.6,4431,2020-21,2022-23,22-24,186,76,3.4,104,116,0.3,3.1,0.037,-1.5,-1.1,-2.6,-0.7,11.4,1.1,9.6,5.3,10.2,1.1,1,8.2,21.4,G,LALSAS,walkelo01
157,Eric Gordon,-1.9,4423,2020-21,2022-23,32-34,153,117,4.5,112,121,3.8,0.6,0.048,-0.1,-1.7,-1.9,0.1,12.4,1,6.7,3.8,13.9,0.9,1.2,12.9,19.4,G-F,HOULAC,gordoer01
158,Delon Wright,2.5,4421,2020-21,2022-23,28-30,190,61,11.6,122,112,6.8,4.8,0.126,0.3,2.3,2.5,5,15.5,4.4,12.3,8.4,20.3,3.2,1.3,12.7,13.4,G,ATLDETSACWAS,wrighde01
159,Georges Niang,-1.3,4402,2020-21,2022-23,27-29,226,18,7.9,113,114,3.8,4.1,0.086,-0.6,-0.7,-1.3,0.8,10.9,1.9,12.2,7.2,7.9,1,0.7,9.7,17,F,PHIUTA,niangge01
160,DeAndre Hunter,-2.8,4381,2020-21,2022-23,23-25,143,138,5.4,111,118,3,2.4,0.059,-1.7,-1.1,-2.8,-0.9,11.8,2.2,12,7.1,6.6,1,1,8.9,19.8,F,ATL,huntede01
161,Cameron Johnson,1.7,4366,2020-21,2022-23,24-26,168,68,11.7,119,111,6.5,5.2,0.129,1.4,0.4,1.7,4.1,14.6,2.8,13.6,8.3,8.3,1.6,0.9,6.8,18.2,F,BRKPHO,johnsca02
162,Max Strus,-0.8,4366,2020-21,2022-23,24-26,187,49,7.9,114,115,4,3.9,0.087,0,-0.8,-0.8,1.3,11.6,2,11.3,6.6,9.9,0.9,0.7,7.7,17.8,G,MIA,strusma01
163,Torrey Craig,-0.9,4347,2020-21,2022-23,30-32,207,84,8.5,115,112,3.6,5,0.094,-1.2,0.4,-0.9,1.2,11.9,7.3,16.5,11.9,7.8,1.4,2.5,11.9,13.7,G-F,INDMILPHO,craigto01
164,Mitchell Robinson,2.1,4292,2020-21,2022-23,22-24,162,149,18.5,140,107,11,7.4,0.207,0.7,1.3,2.1,4.4,19.4,16.9,19.1,18,3.6,1.7,6.4,11.7,11,C,NYK,robinmi01
165,Herbert Jones,-0.4,4286,2021-22,2022-23,23-24,144,135,8.9,115,112,3.6,5.3,0.099,-2,1.6,-0.4,1.7,12.2,5,9.8,7.4,10.5,2.7,2.3,13.4,14.1,F,NOP,joneshe01
166,Cory Joseph,-1.8,4273,2020-21,2022-23,29-31,190,54,6.4,115,118,4.4,2,0.072,-1.5,-0.3,-1.8,0.2,11.9,2.1,9.4,5.6,22.7,1.6,0.9,14.5,15.2,G,DETSAC,josepco01
167,Caleb Martin,-0.9,4267,2020-21,2022-23,25-27,184,64,8.2,112,111,2.8,5.4,0.093,-1.5,0.6,-0.9,1.2,12.1,5,14.3,9.6,8.4,1.9,1.8,10.9,15.5,F,CHOMIA,martica02
168,Darius Bazley,-2.7,4254,2020-21,2022-23,20-22,167,109,1.8,98,112,-2.7,4.5,0.021,-2.5,-0.2,-2.7,-0.8,11.5,3.8,20.2,11.9,8.3,1.2,2.8,12.3,19.5,F,OKCPHO,bazleda01
169,Dwight Powell,0.1,4222,2020-21,2022-23,29-31,216,154,17.1,140,112,12.4,4.7,0.194,-0.4,0.5,0.1,2.3,16.9,10.7,14.7,12.7,7.9,1.4,2,13.5,13.3,F-C,DAL,poweldw01
170,Ayo Dosunmu,-2.2,4208,2021-22,2022-23,22-23,157,91,6,111,115,2.4,3.6,0.068,-2.5,0.2,-2.2,-0.3,10.7,2,9.6,5.8,14.9,1.4,1.2,15,14.5,G,CHI,dosunay01
171,Shake Milton,-1.9,4207,2020-21,2022-23,24-26,194,21,7.3,111,114,3.5,3.9,0.084,-1.1,-0.8,-1.9,0.1,13.1,2.8,10.1,6.5,20.3,1.1,1,12.2,20.7,G,PHI,miltosh01
172,Rui Hachimura,-2.4,4206,2020-21,2022-23,22-24,162,79,5.4,109,115,2.1,3.2,0.061,-1.3,-1.1,-2.4,-0.5,12.8,3.3,15.9,9.7,6.5,1,0.8,8,19.5,F,LALWAS,hachiru01
173,Matisse Thybulle,0.9,4183,2020-21,2022-23,23-25,202,86,8.7,112,108,1.9,6.8,0.099,-2.5,3.4,0.9,3,10.7,3.1,8.1,5.6,6.1,3.6,3.7,10.2,9.8,G,PHIPOR,thybuma01
174,Jaren Jackson Jr.,1.1,4171,2020-21,2022-23,21-23,152,145,12.6,113,106,4.7,7.9,0.145,-0.2,1.3,1.1,3.3,19.1,6.1,17.8,11.9,5.5,1.7,8.3,9.9,25.1,F,MEM,jacksja02
175,Devin Vassell,-0.5,4171,2020-21,2022-23,20-22,171,71,6.1,109,114,2.4,3.7,0.07,-0.4,-0.1,-0.5,1.6,13.2,1.9,14.4,8,11.2,1.9,1.5,7.2,19.3,G-F,SAS,vassede01
176,Doug McDermott,-2,4156,2020-21,2022-23,29-31,181,80,6.3,116,120,5.1,1.2,0.073,0.2,-2.2,-2,0,13,2.6,9.8,6.2,8.3,0.5,0.4,8.1,19.3,F,INDSAS,mcderdo01
177,Talen Horton-Tucker,-2.1,4128,2020-21,2022-23,20-22,190,43,4,103,112,-0.6,4.5,0.046,-2.3,0.3,-2.1,-0.1,12.5,2.7,12.3,7.6,20.7,1.9,1.7,14.6,22.1,G-F,LALUTA,hortota01
178,Terrence Ross,-2.7,4125,2020-21,2022-23,29-31,172,11,2.8,104,116,-0.2,3,0.033,-1.9,-0.8,-2.7,-0.7,11.1,1.5,11,6.1,12,1.3,1,9.8,20.5,F-G,ORLPHO,rosste01
179,Patrick Beverley,0.6,4124,2020-21,2022-23,32-34,162,155,9.1,116,112,4.2,4.9,0.106,-1.2,1.8,0.6,2.7,11.6,3.6,12.4,8,17,1.9,2.7,12.9,13.4,G,CHILACLALMIN,beverpa01
180,Joe Harris,-0.4,4091,2020-21,2022-23,29-31,157,112,8.4,122,117,6,2.4,0.098,0.5,-0.9,-0.4,1.7,12.3,2,10.4,6.3,8.2,1,0.6,8.3,15.3,G,BRK,harrijo01
181,Evan Fournier,-0.5,4076,2020-21,2022-23,28-30,149,123,6.6,110,114,3,3.6,0.077,-0.2,-0.3,-0.5,1.5,13.1,1.2,9.1,5.1,13.8,1.7,1,10,21.3,G-F,BOSNYKORL,fournev01
182,Josh Giddey,0.3,4067,2021-22,2022-23,19-20,130,130,4.3,105,113,-0.1,4.4,0.051,0.3,-0.1,0.3,2.4,15.5,6.3,20.4,13.2,30.9,1.3,1.2,16.8,23.6,G,OKC,giddejo01
183,Joe Ingles,1.3,4033,2020-21,2022-23,33-35,158,45,11.5,124,112,7.1,4.4,0.137,0.6,0.8,1.3,3.4,12.9,1.4,11.5,6.6,21.2,1.2,0.5,15.9,14.6,F-G,MILUTA,inglejo01
184,Gabe Vincent,-2.9,4003,2020-21,2022-23,24-26,186,68,4.1,104,113,0,4.1,0.049,-2.9,-0.1,-2.9,-1,9.4,1.7,7.8,4.7,16.3,1.8,0.5,14,17.9,G,MIA,vincega01
