Rk,Player,BPM...3,MP▼,From,To,Age,G,GS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM...18,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Team,Player-additional
27,Dorian Finney-Smith,-0.2,6574,2020-21,2022-23,27-29,206,206,13.2,117,114,6.8,6.4,0.096,-0.4,0.2,-0.2,2.9,11.4,5.7,11.6,8.7,7.4,1.5,1.4,9.8,13.1,F,BRKDAL,finnedo01
28,Bam Adebayo,3.3,6566,2020-21,2022-23,23-25,195,195,23.4,118,108,12.8,10.6,0.171,1.7,1.6,3.3,8.7,21.4,8.1,23.9,16,20,1.8,2.7,13.9,24.7,C-F,MIA,adebaba01
29,DeAaron Fox,1.3,6554,2020-21,2022-23,23-25,190,190,14.1,113,117,10.5,3.6,0.103,2.4,-1.1,1.3,5.4,20,1.7,11,6.3,29.7,1.7,1,11.4,30.1,G,SAC,foxde01
30,Kevin Huerter,-0.1,6517,2020-21,2022-23,22-24,218,184,11.3,115,116,7,4.3,0.083,0.1,-0.2,-0.1,3.1,13.1,1.9,10.5,6.3,14.5,1.6,0.9,9.8,18.2,G,ATLSAC,huertke01
31,Donovan Mitchell,5.1,6469,2020-21,2022-23,24-26,188,188,22.3,116,111,14,8.3,0.165,5,0.1,5.1,11.5,22,3,10.7,6.9,25.1,1.9,0.7,10.9,32.8,G,CLEUTA,mitchdo01
32,Rudy Gobert,3.4,6455,2020-21,2022-23,28-30,207,207,30.8,132,104,17.7,13.1,0.229,1.7,1.7,3.4,8.8,22.4,12.4,33.2,23.1,5.6,1.1,5.5,14.4,16.7,C,MINUTA,goberru01
33,Devin Booker,2.8,6450,2020-21,2022-23,24-26,188,188,18.5,114,112,11.4,7.2,0.138,3.3,-0.5,2.8,7.8,20.8,2.1,12.5,7.4,23.2,1.4,0.8,10.8,32.2,G,PHO,bookede01
34,Keldon Johnson,-1.3,6423,2020-21,2022-23,21-23,207,204,9.4,111,116,5.3,4.2,0.071,0.2,-1.5,-1.3,1.2,14.8,3.7,16.2,9.8,10.7,1.1,0.6,8.8,22.8,G,SAS,johnske04
35,Kyle Kuzma,-0.8,6397,2020-21,2022-23,25-27,198,162,6.2,103,113,-0.6,6.8,0.046,-0.1,-0.7,-0.8,2,14.1,4.1,20.6,12.5,14.4,0.9,1.7,13.3,24.3,F,LALWAS,kuzmaky01
36,CJ McCollum,2,6394,2020-21,2022-23,29-31,184,184,12.6,113,116,8.3,4.3,0.095,3,-1,2,6.4,17.8,2.4,11.3,6.8,24.9,1.4,1.2,9.4,26.9,G,NOPPOR,mccolcj01
