playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey,playerRole
1630195,"Leandro Bolmaro",0.19,199,0.24,169,-0.06,326,-0.05,317,0.17,153,-0.22,459,0.01,308,-0.23,460,0.23,142,0.55,131,0.25,149,0.3,158,-0.21,456,-0.02,326,-0.18,473,0.06,241,0.43,128,-0.37,433,"2021-22",1610612750,"MIN","1630195_2021-22","No Role Available"
1630640,"MJ Walker",0.01,292,0.01,316,0.01,260,-0.06,325,0.01,299,-0.05,336,-0.09,372,-0.08,364,0.01,316,0.11,237,0.01,307,0.11,222,0.01,287,0.07,204,-0.07,377,-0.06,303,0.03,256,-0.09,318,"2021-22",1610612756,"PHX","1630640_2021-22","No Role Available"
1630643,"Jay Huff",0.16,206,0.22,176,-0.06,328,0.05,238,0.14,173,-0.09,375,-0.03,329,0.04,242,-0.07,360,0.19,211,0.21,171,-0.02,311,0.06,235,0.06,212,0.01,300,0.16,212,0.32,148,-0.16,363,"2021-22",1610612747,"LAL","1630643_2021-22","No Role Available"
1627751,"Jakob Poeltl",2.02,11,0.39,112,1.63,7,0.52,93,-0.18,453,0.69,31,0.13,202,0.14,187,0.01,308,1.12,53,-0.18,408,1.3,21,0.55,49,-0.07,373,0.62,18,1.44,61,-0.15,387,1.59,25,"2021-22",1610612759,"SAS","1627751_2021-22","No Role Available"
1627752,"Taurean Prince",-0.04,313,-0.25,452,0.21,156,0.2,170,-0.26,484,0.46,71,-0.59,543,-0.37,519,-0.22,451,-2.2,604,-1.18,600,-1.02,575,0.2,157,0.45,50,-0.25,512,-0.36,403,-0.46,478,0.11,218,"2021-22",1610612750,"MIN","1627752_2021-22","No Role Available"
1628238,"Paris Bass",0.03,261,0.03,276,0.01,267,-0.03,302,0.01,286,-0.03,306,0.01,288,-0.05,337,0.06,241,0.15,221,-0.04,330,0.19,195,0.01,284,0.05,227,-0.05,350,0.03,257,0.05,243,-0.02,281,"2021-22",1610612756,"PHX","1628238_2021-22","No Role Available"
1628365,"Markelle Fultz",0.06,245,0.21,180,-0.15,387,0.43,117,0.34,95,0.09,198,-0.71,558,-0.37,522,-0.34,497,-0.3,405,0.2,174,-0.5,491,-0.02,303,-0.02,319,0.01,289,0.39,168,0.56,109,-0.17,367,"2021-22",1610612753,"ORL","1628365_2021-22","No Role Available"
1630691,"Jamorko Pickett",-0.16,375,-0.29,465,0.13,191,0.04,241,0.04,243,0.01,266,-0.13,394,-0.47,549,0.34,102,-0.09,334,0.06,257,-0.15,385,-0.09,380,-0.07,371,-0.02,324,-0.11,327,-0.12,367,0.01,255,"2021-22",1610612765,"DET","1630691_2021-22","No Role Available"
1627761,"DeAndre Bembry",-0.91,544,-0.91,576,0.01,277,0.51,94,0.32,100,0.19,145,-0.24,447,0.14,184,-0.38,515,-1.32,574,-0.99,590,-0.33,437,-0.18,435,-0.23,487,0.05,227,0.17,209,-0.07,330,0.24,184,"2021-22",1610612751,"BKN","1627761_2021-22","No Role Available"
1630210,"Markus Howard",-0.1,350,-0.27,456,0.16,174,-0.47,505,-0.33,511,-0.14,411,-0.46,516,-0.21,455,-0.25,460,-0.25,395,-0.05,338,-0.2,408,0.51,60,0.16,144,0.34,64,-0.31,387,-0.43,471,0.12,215,"2021-22",1610612743,"DEN","1630210_2021-22","No Role Available"
